"Type","Status","Nationality","2017","2018","2019","2020","2021","2022","2023","2024"
"Domestic Residence & Permissions applications","Received","Ghana","31","63","76","61","89","159","158","140"
"Domestic Residence & Permissions applications","Received","Gibraltar","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Greenland","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Grenada","0","*","*","*","*","*","6","*"
"Domestic Residence & Permissions applications","Received","Guadeloupe","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Guam","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Guatemala","*","*","6","8","10","15","21","31"
"Domestic Residence & Permissions applications","Received","Guernsey","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Guinea","5","6","8","5","9","16","8","*"
"Domestic Residence & Permissions applications","Received","Guinea-Bissau","0","0","0","0","0","*","0","0"
"Domestic Residence & Permissions applications","Received","Guyana","*","4","*","*","4","7","4","11"
"Domestic Residence & Permissions applications","Received","Haiti","0","*","*","4","*","*","0","0"
"Domestic Residence & Permissions applications","Received","Heard Island and McDonald Islands","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Holy See (the)","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Honduras","*","*","*","4","6","14","20","22"
"Domestic Residence & Permissions applications","Received","India","518","677","751","570","1096","2015","2084","1793"
"Domestic Residence & Permissions applications","Received","Indonesia","29","13","10","17","17","25","37","18"
"Domestic Residence & Permissions applications","Received","Iran (Islamic Republic of)","11","34","32","36","38","57","66","52"
"Domestic Residence & Permissions applications","Received","Iraq","4","43","42","48","49","61","56","61"
"Domestic Residence & Permissions applications","Received","Isle of Man","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Israel","10","9","6","8","4","10","18","19"
"Domestic Residence & Permissions applications","Received","Jamaica","7","9","*","0","7","8","6","*"
"Domestic Residence & Permissions applications","Received","Japan","45","53","40","45","51","53","45","38"
"Domestic Residence & Permissions applications","Received","Jersey","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Jordan","*","5","16","11","11","23","50","95"
"Domestic Residence & Permissions applications","Received","Kazakhstan","12","12","8","9","10","6","10","5"
"Domestic Residence & Permissions applications","Received","Kenya","6","14","32","25","31","59","87","80"
"Domestic Residence & Permissions applications","Received","Kiribati","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Korea (the Democratic People's Republic of) North Korea","0","*","*","*","*","*","*","*"
"Domestic Residence & Permissions applications","Received","Korea (the Republic of) South Korea","42","58","49","29","53","40","46","22"
"Domestic Residence & Permissions applications","Received","Kosovo","6","17","17","20","24","30","40","18"
"Domestic Residence & Permissions applications","Received","Kuwait","12","27","10","9","8","18","17","7"
"Domestic Residence & Permissions applications","Received","Kyrgyzstan","*","*","*","*","*","*","5","6"
"Domestic Residence & Permissions applications","Received","Lao People's Democratic Republic (the)","0","0","*","*","0","0","*","*"
"Domestic Residence & Permissions applications","Received","Lebanon","7","5","10","13","18","25","20","7"
"Domestic Residence & Permissions applications","Received","Lesotho","*","0","4","6","4","9","14","8"
"Domestic Residence & Permissions applications","Received","Liberia","*","*","*","*","*","7","5","4"
"Domestic Residence & Permissions applications","Received","Libya","36","59","35","29","29","19","29","12"
"Domestic Residence & Permissions applications","Received","Macao","0","0","0","0","0","0","0","0"
